movieId,title,tags
69,Friday,"craig smokey two guy los angeles hanging porch friday afternoon, smoking drinking, looking something do. comedy rapmusic parentskidsrelationship rapper job icecube christucker nialong tomlisterjr. johnwitherspoon f.garygray"
70,From Dusk Till Dawn,"seth gecko younger brother richard run bloody bank robbery texas. escape across border mexico home-free next morning, pay local kingpin. survive 'from dusk till dawn' rendezvous point, turn hell strip joint. horror action thriller crime dancing brotherbrotherrelationship sexualobsession showdown sheriff georgeclooney quentintarantino harveykeitel juliettelewis ernestliu robertrodriguez"
79,The Juror,"gangster bos trial murder, mob thug known ""the teacher"" tell annie laird must talk fellow juror not-guilty verdict, implying kill son oliver fails. manages this, but, becomes clear mobster might want silence good, sends oliver abroad try gather evidence plot her, setting final showdown. drama thriller juror blackmail courtcase son trial demimoore alecbaldwin josephgordon-levitt anneheche jamesgandolfini briangibson"
81,Things to Do in Denver When You're Dead,mafia film tarantino style star-studded cast. jimmy’s “the saint” gangster career finally ended. yet find self favor wise godfather known “the man plan.” drama crime fathersonrelationship bountyhunter boat wayoflife coffin andygarcía christopherlloyd williamforsythe billnunn treatwilliams garyfleder
86,White Squall,teenage boy discover discipline camaraderie ill-fated sailing voyage. action drama sailingtrip diary sailing survival comingofage jeffbridges carolinegoodall johnsavage scottwolf jeremysisto ridleyscott
92,Mary Reilly,"housemaid fall love dr. jekyll darkly mysterious counterpart, mr. hyde. drama horror thriller romance servant monster laboratory jekyllandhyde housemaid juliaroberts johnmalkovich georgecole michaelgambon glennclose stephenfrears"
93,Vampire in Brooklyn,"maximillian, lone survivor race vampires, come brooklyn search way live past next full moon. ticket survival rita, nypd detective know half vampire -- maximillian whatever's necessary put spell. comedy horror romance vampire halfvampire eddiemurphy angelabassett allenpayne kadeemhardison johnwitherspoon wescraven"
95,Broken Arrow,"rogue stealth-fighter pilot vic deakins deliberately drop radar maneuvers, air force end two stolen nuclear warhead -- deakins's co-pilot, riley hale, military's hope getting back. traversing deserted canyon utah, hale team park ranger terry carmichael put deakins back box. action adventure drama thriller helicopter river captain underground mexicanstandoff johntravolta christianslater samanthamathis delroylindo bobgunton johnwoo"
100,City Hall,"accidental shooting boy new york lead investigation deputy mayor, unexpectedly far-reaching consequences. drama thriller corruption undercover warondrugs mayor drugdealer alpacino johncusack bridgetfonda dannyaiello martinlandau haroldbecker"
101,Bottle Rocket,"upon release mental hospital following nervous breakdown, directionless anthony join friend dignan, seems far less sane former. dignan hatched hair-brained scheme as-yet-unspecified crime spree somehow involves former boss, (supposedly) legendary mr. henry. comedy crime drama brotherbrotherrelationship robbery burglar languagebarrier motel lukewilson owenwilson lumicavazos andrewwilson robertmusgrave wesanderson"
104,Happy Gilmore,"failed hockey player-turned-golf whiz happy gilmore -- whose unconventional approach antic grass court ire rival shooter mcgavin -- determined win pga tournament save granny's house prize money. meanwhile, attractive tour publicist try soften happy's image. comedy lossofmother lossoffather golf sport tax adamsandler benstiller christophermcdonald juliebowen francesbay dennisdugan"
105,The Bridges of Madison County,photographer robert kincaid wanders life housewife francesca johnson four day 1960s. drama romance farewell adultery loveatfirstsight photographer wifehusbandrelationship merylstreep clinteastwood anniecorley victorslezak jimhaynie clinteastwood
110,Braveheart,"enraged slaughter murron, new bride childhood love, scottish warrior william wallace slays platoon local english lord's soldiers. lead village revolt and, eventually, entire country rise english rule. action drama history war individual scotland inlovewithenemy legend independence melgibson catherinemccormack sophiemarceau patrickmcgoohan angusmacfadyen melgibson"
111,Taxi Driver,"mentally unstable vietnam war veteran work night-time taxi driver new york city perceived decadence sleaze feed urge violent action, attempting save preadolescent prostitute process. crime drama vietnamveteran taxi obsession drugdealer nightshift robertdeniro cybillshepherd harveykeitel jodiefoster peterboyle martinscorsese"
112,Rumble in the Bronx,"keong come hong kong visit new york uncle's wedding. uncle run market bronx keong offer help uncle honeymoon. stay bronx, keong befriends neighbor kid beat neighborhood thug cause problem market. one petty thug local gang stumble criminal situation way head. crime action comedy thriller newyork martialarts supermarket gangwar disabledchild jackiechan anitamui françoiseyip billtung marcakerstream stanleytong"
122,Boomerang,"marcus successful advertising executive woos bed woman almost will. company merger find new boss, ravishing jacqueline, treating exactly way. completely traumatised this, work go badly downhill. comedy romance roleofwomen ladykiller success ladies'man chefin eddiemurphy robingivens halleberry davidalangrier gracejones reginaldhudlin"
125,Flirting with Disaster,"adopted child, new father mel colpin (ben stiller) decides cannot name son know birth parents, determines make cross-country quest find them. accompanied wife, nancy (patricia arquette), inept yet gorgeous adoption agent, tina (tea leoni), departs epic road trip quickly devolves farce mistaken identities, wrong turns, overzealous love-struck atf agent (josh brolin, richard jenkins). comedy romance lsd lookingforbirthparents half-brother independentfilm benstiller patriciaarquette téaleoni marytylermoore alanalda davido.russell"
132,Jade,"someone nasty hatchet job san fransisco big noise assistant d.a. take charge investigation. web blackmail prostitution involving governor, old lover law man emerges prime suspect deal personal feeling well case. action thriller mystery romance callgirl sanfrancisco investigation murder davidcaruso lindafiorentino chazzpalminteri michaelbiehn richardcrenna williamfriedkin"
140,Up Close & Personal,"tally atwater dream: prime-time network newscaster. pursues dream nothing ambition, raw talent homemade demo tape. warren justice brilliant, hard edged, veteran newsman. see tally talent becomes mentor. tally’s career take meteoric rise warren fall love. romance result intense revealing television news itself. yet, breaking story, every videotaped crisis brings together, also threatens drive apart... drama romance miami television career vitaminb reporter robertredford michellepfeiffer stockardchanning joemantegna katenelligan jonavnet"
144,The Brothers McMullen,"deal life three irish catholic mcmullen brother long island, new york, three months, grapple basic idea value — love, sex, marriage, religion family — 1990s. directed, written, produced starring edward burns. comedy drama romance love independentfilm bestfriend truelove irishcatholic sharialbert maxinebahns catharinebolz conniebritton edwardburns edwardburns"
145,Bad Boys,"marcus burnett hen-pecked family man. mike lowry foot-loose fancy free ladies' man. miami policemen, 72 hour reclaim consignment drug stolen station's nose. complicate matters, order get assistance sole witness murder, pretend other. action comedy crime thriller miami detective handcuff airport mexicanstandoff willsmith martinlawrence téaleoni tchékykaryo joepantoliano michaelbay"
150,Apollo 13,"true story technical trouble scuttle apollo 13 lunar mission 1971, risking life astronaut jim lovell crew, failed journey turning thrilling saga heroism. drifting 200,000 mile earth, astronaut work furiously ground crew avert tragedy. drama moon florida nasa spaceman raceagainsttime tomhanks billpaxton kevinbacon garysinise edharris ronhoward"
151,Rob Roy,"highland scotland 1700s, rob roy try lead small town better future, borrowing money local nobility buy cattle herd market. money stolen, rob forced robin hood lifestyle defend family honour. adventure scotland biography 18thcentury highland violentman liamneeson jessicalange johnhurt timroth ericstoltz michaelcaton-jones"
153,Batman Forever,"dark knight gotham city confronts dastardly duo: two-face riddler. formerly district attorney harvey dent, two-face belief batman caused courtroom accident left disfigured one side. edward nygma, computer-genius former employee millionaire bruce wayne, get philanthropist; riddler. former circus acrobat dick grayson, family killed two-face, becomes wayne's ward batman's new partner robin. action crime fantasy riddle dccomics rose gothamcity partner valkilmer tommyleejones jimcarrey nicolekidman chriso'donnell joelschumacher"
158,Casper,"furious late father willed gloomy-looking mansion rather millions, carrigan crittenden ready burn place ground discovers map treasure hidden house. enters rickety mansion seek claim, frightened away wicked wave ghosts. determined get hand hidden fortune, hire afterlife therapist dr. james harvey exorcise ghost mansion. harvey daughter kat move in, soon kat meet casper, ghost young boy who's ""the friendliest ghost know."" friendly casper's uncles--stretch, fatso stinkie--who determined drive ""fleshies"" away. fantasy comedy family halloween friendship supernatural afterlife friend christinaricci billpullman cathymoriarty ericidle joenipote bradsilberling"
160,Congo,"eight people embark expedition congo, mysterious expanse unexplored africa human greed law nature gone berserk. thrill-seekers -- ulterior motif -- stumble across race killer apes. action adventure drama mystery sciencefiction gorilla kongo diamondmine diamond lauralinney dylanwalsh erniehudson timcurry grantheslov frankmarshall"
161,Crimson Tide,"u nuclear missile sub, young first officer stage mutiny prevent trigger happy captain launching missile confirming order so. action thriller drama submarine mutiny russia missile nuclearmissile denzelwashington genehackman mattcraven georgedzundza viggomortensen tonyscott"
163,Desperado,gunslinger embroiled war local drug runner. thriller action crime gunslinger antiterror ambush mexico showdown antoniobanderas salmahayek joaquimdealmeida cheechmarin stevebuscemi robertrodriguez
165,Die Hard: With a Vengeance,"new york detective john mcclane back kicking bad-guy butt third installment action-packed series, find teaming civilian zeus carver prevent loss innocent lives. mcclane thought seen all, genius named simon engages mcclane, new ""partner"" -- beloved city -- deadly game demand concentration. action thriller bomb taxi riddle robbery detective brucewillis jeremyirons samuell.jackson grahamgreene colleencamp johnmctiernan"
168,First Knight,"timeless tale king arthur legend camelot retold passionate period drama. arthur reluctant hand crown lancelot, guinevere torn loyalty husband growing love rival. lancelot must balance loyalty throne reward true love. action adventure drama romance camelot knight kingarthur excalibur knightsoftheroundtable seanconnery richardgere juliaormond bencross liamcunningham jerryzucker"
170,Hackers,"along new friends, teenager arrested u secret service banned using computer writing computer virus discovers plot nefarious hacker, must use computer skill find evidence pursued secret service evil computer genius behind virus. action crime thriller drama femalenudity hacker nudity computervirus virtualreality jonnyleemiller angelinajolie jessebradford matthewlillard renolysantiago iainsoftley"
175,Kids,"controversial portrayal teen new york city expose deeply disturbing world sex substance abuse. film focus sexually reckless, freckle-faced boy named telly, whose goal sex many different girl can. jenny, girl sex once, test positive hiv, know contracted disease telly. jenny discovers telly's idea ""safe sex"" sex virgins, continuing pas disease onto unsuspecting girls, jenny make business try stop him. drama crime puberty firsttime leofitzpatrick rosariodawson chloësevigny justinpierce sajanbhagat larryclark"
180,Mallrats,"dumped girlfriends, two best friend seek refuge local mall. romance comedy sex gameshow slacker shopping mall jasonlee jeremylondon shannendoherty claireforlani benaffleck kevinsmith"
185,The Net,"angela bennett freelance software engineer life world computer technology. cyber friend asks bennett debug new game, inadvertently becomes involved conspiracy soon turn life upside down. vacation mexico, purse stolen. soon find people event may seem becomes target assassination. vacation ruined. get new passport u.s. embassy mexico wrong name, ruth marx. return u.s. sort thing out, discovers ruth marx unsavory past lengthy police record. make matter worse, another person assumed real identity ... crime drama mystery thriller action cheating newidentity computervirus chase computer sandrabullock jeremynortham dennismiller wendygazelle kenhoward irwinwinkler"
188,The Prophecy,"angel gabriel come earth collect soul end stalemated war heaven, former priest little girl stop him. fantasy horror thriller angel archangelgabriel menschheit christopherwalken eliaskoteas virginiamadsen ericstoltz adamgoldberg gregorywiden"
191,The Scarlet Letter,"set puritanical boston mid 1600s, story seamstress hester prynne, outcast becomes pregnant respected reverend. refuse divulge name father, ""convicted"" adultery forced wear scarlet ""a"" indian attack unites puritan lead reevaluation law morals. drama history romance basedonnovel burningofwitches puritan pregnancy perioddrama demimoore garyoldman robertduvall robertprosky edwardhardwicke rolandjoffé"
193,Showgirls,young drifter named nomi arrives la vega become dancer soon set clawing pushing way become top showgirl. drama dancing femalenudity go-godancer spanner seduction elizabethberkley kylemaclachlan ginagershon glennplummer robertdavi paulverhoeven
196,Species,"1993, search extra terrestrial intelligence project receives transmission detailing alien dna structure, along instruction splice human dna. result sil, sensual deadly creature change beautiful woman armour-plated killing machine blink eye. sciencefiction horror action telepathy dna paranoia genetics instinct natashahenstridge benkingsley michaelmadsen alfredmolina forestwhitaker rogerdonaldson"
204,Under Siege 2: Dark Territory,"passenger train hijacked electronics expert turned untraceable command center weapon satellite. planned blow washington dc one man stop him, former navy seal casey ryback. action thriller terrorist pentagon satellite navyseal train stevenseagal ericbogosian everettmcgill katherineheigl morrischestnut geoffmurphy"
208,Waterworld,"futuristic world polar ice cap melted made earth liquid planet, beautiful barmaid rescue mutant seafarer floating island prison. escape, along young charge, enola, sail aboard ship. trio soon becomes target menacing pirate covets map 'dryland' – tattooed enola's back. adventure action ocean tattoo mutant water dystopia kevincostner chaimgirafi rickaviles r.d.call zittokazann kevinreynolds"
215,Before Sunrise,"dialogue marathon film, fairytale love story american boy french girl. day night together vienna two heart collide. drama romance dialogue sunrise talking soulmates walking ethanhawke juliedelpy andreaeckert hannopöschl karlbruckschwaiger richardlinklater"
223,Clerks,"convenience video store clerk dante randal sharp-witted, potty-mouthed bored minds. needling customers, counter jockey play hockey roof, visit funeral home deal love lives. comedy salesclerk loser aftercreditsstinger briano'halloran jeffanderson jasonmewes kevinsmith lisaspoonhauer kevinsmith"
224,Don Juan DeMarco,"john arnold demarco man belief juan, greatest lover world. clad cape mask, demarco undergoes psychiatric treatment dr. jack mickler cure apparent delusion. psychiatric session unexpected effect psychiatric staff and, profoundly, dr mickler, rekindles romance complacent marriage. romance drama comedy sexaddiction love mentalinstitution patient psychiatrist johnnydepp marlonbrando fayedunaway géraldinepailhas bobdishy jeremyleven"
225,Disclosure,"computer specialist sued sexual harassment former lover turned bos initiated act forcefully, threatens career personal life. drama thriller crime mystery romance employee workplace sexualharassment intrigue michaeldouglas demimoore donaldsutherland dylanbaker jacquelinekim barrylevinson"
231,Dumb and Dumber,"lloyd harry two men whose stupidity really indescribable. mary, beautiful woman, loses important suitcase money leaf aspen, two friend (who found suitcase) decide return her. ""adventures"" finally get aspen where, using lost money live fight mary's heart. comedy gasstation motel utah stupidity pill jimcarrey jeffdaniels laurenholly terigarr mikestarr bobbyfarrelly peterfarrelly"
233,Exotica,"upscale toronto strip club exotica, dancer christina visited nightly obsessive francis, depressed tax auditor. ex-boyfriend, club's mc, eric, still jealously pine even introduces onstage, eric relationship problem club's owner, zoe. meanwhile thomas, mysterious pet-shop owner, become unexpectedly involved lives. gradually, connection traumatic past character revealed. drama mystery secret nightclub petshop independentfilm unhappiness brucegreenwood miakirshner eliaskoteas donmckellar sarahpolley atomegoyan"
235,Ed Wood,"mostly true story legendary ""worst director time"", who, help strange friends, filmed countless b-movies without ever becoming famous successful. comedy drama history individual taxi transsexuality fortuneteller filmbusiness johnnydepp martinlandau sarahjessicaparker patriciaarquette jeffreyjones timburton"
246,Hoop Dreams,"documentary follows two inner-city chicago residents, arthur agee william gates, follow dream becoming basketball superstars. beginning start high school years, ending almost 5 year later, start college, watch boy mature men, still retaining ""hoop dreams"". documentary chicago sportsteam ghetto narration college williamgates arthuragee stevejames stevejames"
247,Heavenly Creatures,"based true story juliet hulme pauline parker, two close friend share love fantasy literature, conspire kill pauline's mother try end girls' intense obsessive relationship. drama fantasy mother sex secret obsession literature melanielynskey katewinslet sarahpeirse simono'connor dianakent peterjackson"
253,Interview with the Vampire,"vampire relates epic life story love, betrayal, loneliness, dark hunger over-curious reporter. horror romance paris sanfrancisco vampire plantation pity bradpitt tomcruise kirstendunst antoniobanderas christianslater neiljordan"
254,Jefferson in Paris,"wife recently died, thomas jefferson accepts post united state ambassador pre-revolutionary france, though find difficult adjust life country aristocracy subjugates increasingly restless peasantry. paris, becomes smitten cultured artist maria cosway, but, daughter visit virginia accompanied attractive slave, sally hemings, jefferson's attention diverted. drama romance france revolution biography president history nicknolte gretascacchi thandienewton gwynethpaltrow jean-pierreaumont jamesivory"
255,The Jerky Boys,"two unemployed telephone prankster decide use vocal ""talents"" impersonate chicago mob bos curry favor organized crime new york, trouble begins. long johnny kamal (the ""jerky boys"" crank call fame) wanted local mafia, police, neighbor. comedy crime newyork telephonejoke gangster johng.brennan kamalahmed alanarkin williamhickey vincentpastore jamesmelkonian"
259,Kiss of Death,"jimmy kilmartin ex-con living astoria new york city borough queens, trying stay clean raising family wife bev. cousin ronnie cause take fall driving illegal transport stolen cars, police officer named calvin hart injured jimmy land back prison. exchange early release, asked help bring local crime bos named little junior brown. jimmy remarries attempt renew relationship child. sent undercover detective hart work junior infiltrate operations. soon little junior kill undercover federal agent jimmy watching, unscrupulous district attorney fed complicate life. must take junior face consequences. action crime drama thriller hoodlum davidcaruso samuell.jackson nicolascage helenhunt kathrynerbe barbetschroeder"
260,Star Wars,princess leia captured held hostage evil imperial force effort take galactic empire. venturesome luke skywalker dashing captain han solo team together loveable robot duo r2-d2 c-3po rescue beautiful princess restore peace justice empire. adventure action sciencefiction android galaxy hermit deathstar lightsaber markhamill harrisonford carriefisher petercushing alecguinness georgelucas
261,Little Women,"father away chaplain civil war, jo, meg, beth amy grow mother somewhat reduced circumstances. close family inevitably squabble tragedies. bond hold even when, later, male friend start become part household. drama romance depression motherdaughterrelationship pregnant desire chalkboard winonaryder gabrielbyrne trinialvarado samanthamathis kirstendunst gillianarmstrong"
266,Legends of the Fall,"epic tale three brother father living remote wilderness 1900s usa life affected nature, history, war, love. adventure drama romance war brotherbrotherrelationship montana basedonnovel worldwari journeyroundtheworld bradpitt anthonyhopkins aidanquinn juliaormond henrythomas edwardzwick"
292,Outbreak,"deadly airborne virus find way usa start killing people epidemic rate. col sam daniels' job stop virus spreading small town, must quarantined, prevent reaction white house. action drama sciencefiction thriller river general research army serum dustinhoffman renerusso morganfreeman kevinspacey cubagoodingjr. wolfgangpetersen"
294,The Perez Family,"midst mariel boat lift -- hurried exodus refugee cuba going america -- immigration clerk accidentally presumes dissident juan raul perez dorita evita perez married. united last name mutual resolve emigrate, dorita juan agree play along. get complicated two begin falling juan reunites wife, carmela, seen decades. comedy drama romance immigration independentfilm womandirector politicalprisoner cubanrefugees marisatomei alfredmolina anjelicahuston chazzpalminteri trinialvarado miranair"
296,Pulp Fiction,"burger-loving hit man, philosophical partner, drug-addled gangster's moll washed-up boxer converge sprawling, comedic crime caper. adventure unfurl three story ingeniously trip back forth time. thriller crime transporter brothel drugdealer boxer massage johntravolta samuell.jackson umathurman brucewillis vingrhames quentintarantino"
303,The Quick and the Dead,"mysterious woman come compete quick-draw elimination tournament, town taken notorious gunman. action western gunslinger revenge prairie shootout pistol sharonstone genehackman russellcrowe leonardodicaprio tobinbell samraimi"
315,The Specialist,"may munro woman obsessed getting revenge people murdered parent still girl. hire ray quick, retired explosive expert kill parent's killers. ned trent, embittered ex-partner quick's assigned protect one quick's potential victims, deadly game cat mouse ensues. action thriller explosive revenge explosivesexpert sylvesterstallone sharonstone jameswoods rodsteiger ericroberts luisllosa"
317,The Santa Clause,"scott calvin ordinary man, accidentally cause santa claus fall roof christmas eve knocked unconscious. young son finish santa's trip deliveries, go north pole, scott learns must become new santa convince love indeed, father christmas. fantasy drama comedy family holiday christmasparty santaclaus deal christmastree timallen judgereinhold wendycrewson davidkrumholtz peterboyle johnpasquin"
318,The Shawshank Redemption,"framed 1940s double murder wife lover, upstanding banker andy dufresne begin new life shawshank prison, put accounting skill work amoral warden. long stretch prison, dufresne come admired inmate -- including older prisoner named red -- integrity unquenchable sense hope. drama crime prison corruption policebrutality prisoncell delinquent timrobbins morganfreeman bobgunton clancybrown markrolston frankdarabont"
327,Tank Girl,"based british cult comic-strip, tank-riding anti-heroine fight mega-corporation, control world's water supply. action comedy fantasy sciencefiction destroy dystopia reincarnation desert artialarts loripetty ice-t naomiwatts malcolmmcdowell iggypop racheltalalay"
328,Tales from the Crypt: Demon Knight,man run hunted demon known collector. horror comedy thriller prostitute key jesuschrist chosenone god billyzane williamsadler jadapinkettsmith brendabakke cchpounder ernestr.dickerson
329,Star Trek: Generations,captain jean-luc picard crew enterprise-d find odds renegade scientist soran destroying entire star systems. one man help picard stop soran's scheme...and dead seventy-eight years. sciencefiction action adventure thriller basedontvseries death explodingplanet mountaincabin solarsystem patrickstewart jonathanfrakes brentspiner levarburton michaeldorn davidcarson
330,Tales from the Hood,strange funeral director tell four strange tale horror african american focus three drug dealer trap place business. crime horror thriller prison childabuse kukluxklan policebrutality ghetto clarencewilliamsiii corbinbernsen davidalangrier wingshauser duanewhitaker rustycundieff
337,What's Eating Gilbert Grape,"gilbert care brother arnie obese mother, get way love walk life. romance drama brotherbrotherrelationship mentallydisabled iowa widow dysfunctionalfamily johnnydepp leonardodicaprio juliettelewis darlenecates marysteenburgen lassehallström"
338,Virtuosity,"law enforcement technology advancement centre (letac) developed sid version 6.7: sadistic, intelligent, dangerous virtual reality entity synthesized personality 150 serial killers, one man stop him. action crime sciencefiction thriller artificialintelligence android hologram computerprogram virtualreality denzelwashington russellcrowe kellylynch williamforsythe stephenspinella brettleonard"
344,Ace Ventura: Pet Detective,"ace ventura: pet detective. jim carrey case find miami dolphins' missing mascot quarterback dan marino. go eyeball eyeball man-eating shark, stake miami dolphin woos wow ladies. whether undercover, fire underwater, always get man . . . beast! comedy mystery dolphin mascot privatedetective pet jimcarrey seanyoung courteneycox toneloc danmarino tomshadyac"
